trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_205625,1,39.08,"(6, 0)",4,4.0,0.00
20250506_205625,2,32.47,"(6, 1)",4,7.0,-6.62
20250506_205625,3,31.65,"(6, 2)",4,7.0,-0.82
20250506_205625,4,31.48,"(6, 4)",4,7.0,-0.17
20250506_205625,5,36.72,"(6, 5)",4,3.0,5.23
20250506_205625,6,32.83,"(6, 6)",4,8.0,-3.88
20250506_205625,7,27.08,"(5, 0)",4,7.0,-5.75
20250506_205625,8,32.98,"(5, 1)",4,8.0,5.90
20250506_205625,9,28.90,"(5, 2)",4,9.0,-4.08
20250506_205625,10,33.15,"(5, 4)",4,5.0,4.25
20250506_205625,11,33.63,"(5, 5)",4,6.0,0.48
20250506_205625,12,27.25,"(5, 6)",4,6.0,-6.38
20250506_205625,13,40.28,"(4, 0)",4,6.0,13.03
20250506_205625,14,27.98,"(4, 1)",4,8.0,-12.30
20250506_205625,15,38.42,"(4, 2)",4,6.0,10.43
20250506_205625,16,30.05,"(4, 4)",4,6.0,-8.37
20250506_205625,17,39.23,"(4, 5)",4,7.0,9.18
20250506_205625,18,29.17,"(4, 6)",4,8.0,-10.07
20250506_205625,19,34.88,"(3, 0)",4,6.0,5.72
20250506_205625,20,37.72,"(3, 1)",4,12.0,2.83
20250506_205625,21,33.07,"(3, 2)",4,6.0,-4.65
20250506_205625,22,34.40,"(3, 4)",4,9.0,1.33
20250506_205625,23,30.83,"(3, 5)",4,4.0,-3.57
20250506_205625,24,35.83,"(3, 6)",4,7.0,5.00
20250506_205625,25,21.37,"(10, 0)",3,5.0,-14.47
20250506_205625,26,18.13,"(10, 1)",3,3.0,-3.23
20250506_205625,27,18.07,"(10, 2)",3,7.0,-0.07
20250506_205625,28,24.18,"(10, 4)",3,7.0,6.12
20250506_205625,29,19.57,"(10, 5)",3,7.0,-4.62
20250506_205625,30,19.65,"(10, 6)",3,8.0,0.08
20250506_205625,31,25.08,"(9, 0)",3,8.0,5.43
20250506_205625,32,22.25,"(9, 1)",3,6.0,-2.83
20250506_205625,33,23.13,"(9, 2)",3,8.0,0.88
20250506_205625,34,18.62,"(9, 4)",3,3.0,-4.52
20250506_205625,35,16.62,"(9, 5)",3,6.0,-2.00
20250506_205625,36,16.53,"(9, 6)",3,9.0,-0.08
20250506_205625,37,18.22,"(8, 0)",3,9.0,1.68
20250506_205625,38,17.47,"(8, 1)",3,8.0,-0.75
20250506_205625,39,20.72,"(8, 2)",3,8.0,3.25
20250506_205625,40,27.05,"(8, 4)",3,4.0,6.33
20250506_205625,41,26.33,"(8, 5)",3,8.0,-0.72
20250506_205625,42,23.45,"(8, 6)",3,5.0,-2.88
20250506_205625,43,23.05,"(7, 0)",3,8.0,-0.40
20250506_205625,44,26.13,"(7, 1)",3,9.0,3.08
20250506_205625,45,19.73,"(7, 2)",3,9.0,-6.40
20250506_205625,46,15.70,"(7, 4)",3,11.0,-4.03
20250506_205625,47,21.40,"(7, 5)",3,12.0,5.70
20250506_205625,48,24.27,"(7, 6)",3,10.0,2.87
20250506_205625,49,9.65,"(14, 0)",2,5.0,-14.62
20250506_205625,50,13.40,"(14, 1)",2,3.0,3.75
20250506_205625,51,10.40,"(14, 2)",2,9.0,-3.00
20250506_205625,52,12.73,"(14, 4)",2,4.0,2.33
20250506_205625,53,5.23,"(14, 5)",2,7.0,-7.50
20250506_205625,54,6.82,"(14, 6)",2,8.0,1.58
20250506_205625,55,8.65,"(13, 0)",2,5.0,1.83
20250506_205625,56,11.57,"(13, 1)",2,8.0,2.92
20250506_205625,57,5.07,"(13, 2)",2,7.0,-6.50
20250506_205625,58,14.58,"(13, 4)",2,5.0,9.52
20250506_205625,59,14.47,"(13, 5)",2,5.0,-0.12
20250506_205625,60,7.45,"(13, 6)",2,9.0,-7.02
20250506_205625,61,7.23,"(12, 0)",2,8.0,-0.22
20250506_205625,62,12.98,"(12, 1)",2,4.0,5.75
20250506_205625,63,13.82,"(12, 2)",2,5.0,0.83
20250506_205625,64,10.65,"(12, 4)",2,8.0,-3.17
20250506_205625,65,13.65,"(12, 5)",2,5.0,3.00
20250506_205625,66,7.73,"(12, 6)",2,8.0,-5.92
20250506_205625,67,10.48,"(11, 0)",2,9.0,2.75
20250506_205625,68,5.72,"(11, 1)",2,8.0,-4.77
20250506_205625,69,7.38,"(11, 2)",2,4.0,1.67
20250506_205625,70,4.58,"(11, 4)",2,8.0,-2.80
