trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_205216,1,54.43,"(3, 0)",16,10.0,0.00
20250506_205216,2,52.73,"(3, 1)",16,6.0,-1.70
20250506_205216,3,53.47,"(3, 2)",16,8.0,0.73
20250506_205216,4,51.28,"(3, 4)",16,10.0,-2.18
20250506_205216,5,50.45,"(3, 5)",16,8.0,-0.83
20250506_205216,6,52.07,"(3, 6)",16,4.0,1.62
20250506_205216,7,49.42,"(4, 0)",15,5.0,-2.65
20250506_205216,8,48.37,"(4, 1)",15,7.0,-1.05
20250506_205216,9,47.10,"(4, 2)",15,5.0,-1.27
20250506_205216,10,49.90,"(4, 4)",15,7.0,2.80
20250506_205216,11,46.67,"(4, 5)",15,5.0,-3.23
20250506_205216,12,47.78,"(4, 6)",15,8.0,1.12
20250506_205216,13,44.57,"(5, 0)",14,5.0,-3.22
20250506_205216,14,45.37,"(5, 1)",14,10.0,0.80
20250506_205216,15,42.33,"(5, 2)",14,7.0,-3.03
20250506_205216,16,46.02,"(5, 4)",14,4.0,3.68
20250506_205216,17,43.87,"(5, 5)",14,7.0,-2.15
20250506_205216,18,43.15,"(5, 6)",14,4.0,-0.72
20250506_205216,19,40.25,"(6, 0)",13,8.0,-2.90
20250506_205216,20,38.92,"(6, 1)",13,7.0,-1.33
20250506_205216,21,41.50,"(6, 2)",13,5.0,2.58
20250506_205216,22,41.00,"(6, 4)",13,6.0,-0.50
20250506_205216,23,38.23,"(6, 5)",13,9.0,-2.77
20250506_205216,24,39.65,"(6, 6)",13,6.0,1.42
20250506_205216,25,36.70,"(7, 0)",12,4.0,-2.95
20250506_205216,26,37.85,"(7, 1)",12,5.0,1.15
20250506_205216,27,35.27,"(7, 2)",12,6.0,-2.58
20250506_205216,28,34.43,"(7, 4)",12,8.0,-0.83
20250506_205216,29,37.17,"(7, 5)",12,7.0,2.73
20250506_205216,30,36.27,"(7, 6)",12,7.0,-0.90
20250506_205216,31,32.12,"(8, 0)",11,3.0,-4.15
20250506_205216,32,33.75,"(8, 1)",11,7.0,1.63
20250506_205216,33,31.20,"(8, 2)",11,7.0,-2.55
20250506_205216,34,33.02,"(8, 4)",11,6.0,1.82
20250506_205216,35,29.78,"(8, 5)",11,2.0,-3.23
20250506_205216,36,30.42,"(8, 6)",11,4.0,0.63
20250506_205216,37,26.97,"(9, 0)",10,8.0,-3.45
20250506_205216,38,28.57,"(9, 1)",10,9.0,1.60
20250506_205216,39,27.45,"(9, 2)",10,7.0,-1.12
20250506_205216,40,26.45,"(9, 4)",10,10.0,-1.00
20250506_205216,41,29.38,"(9, 5)",10,5.0,2.93
20250506_205216,42,27.68,"(9, 6)",10,8.0,-1.70
20250506_205216,43,24.42,"(10, 0)",9,7.0,-3.27
20250506_205216,44,22.55,"(10, 1)",9,9.0,-1.87
20250506_205216,45,25.80,"(10, 2)",9,4.0,3.25
20250506_205216,46,23.92,"(10, 4)",9,6.0,-1.88
20250506_205216,47,23.28,"(10, 5)",9,4.0,-0.63
20250506_205216,48,25.02,"(10, 6)",9,8.0,1.73
20250506_205216,49,21.55,"(11, 0)",8,7.0,-3.47
20250506_205216,50,17.98,"(11, 1)",8,7.0,-3.57
20250506_205216,51,20.08,"(11, 2)",8,2.0,2.10
20250506_205216,52,20.77,"(11, 4)",8,8.0,0.68
20250506_205216,53,19.62,"(11, 5)",8,5.0,-1.15
20250506_205216,54,18.87,"(11, 6)",8,5.0,-0.75
20250506_205216,55,17.23,"(12, 0)",7,6.0,-1.63
20250506_205216,56,16.77,"(12, 1)",7,6.0,-0.47
20250506_205216,57,16.12,"(12, 2)",7,6.0,-0.65
20250506_205216,58,14.62,"(12, 4)",7,6.0,-1.50
20250506_205216,59,13.78,"(12, 5)",7,8.0,-0.83
20250506_205216,60,15.63,"(12, 6)",7,4.0,1.85
