trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_205013,1,36.08,"(18, 0)",4,5.0,0.00
20250506_205013,2,36.23,"(18, 1)",4,11.0,0.15
20250506_205013,3,38.60,"(18, 2)",4,7.0,2.37
20250506_205013,4,34.95,"(18, 4)",4,7.0,-3.65
20250506_205013,5,39.22,"(18, 5)",4,8.0,4.27
20250506_205013,6,37.45,"(18, 6)",4,9.0,-1.77
20250506_205013,7,30.55,"(17, 0)",4,9.0,-6.90
20250506_205013,8,29.17,"(17, 1)",4,7.0,-1.38
20250506_205013,9,34.08,"(17, 2)",4,6.0,4.92
20250506_205013,10,36.32,"(17, 4)",4,9.0,2.23
20250506_205013,11,29.98,"(17, 5)",4,8.0,-6.33
20250506_205013,12,36.72,"(17, 6)",4,4.0,6.73
20250506_205013,13,36.97,"(16, 0)",4,7.0,0.25
20250506_205013,14,28.45,"(16, 1)",4,6.0,-8.52
20250506_205013,15,29.25,"(16, 2)",4,6.0,0.80
20250506_205013,16,36.12,"(16, 4)",4,8.0,6.87
20250506_205013,17,35.58,"(16, 5)",4,4.0,-0.53
20250506_205013,18,34.75,"(16, 6)",4,5.0,-0.83
20250506_205013,19,31.32,"(15, 0)",4,10.0,-3.43
20250506_205013,20,37.65,"(15, 1)",4,6.0,6.33
20250506_205013,21,32.27,"(15, 2)",4,7.0,-5.38
20250506_205013,22,34.87,"(15, 4)",4,2.0,2.60
20250506_205013,23,29.90,"(15, 5)",4,6.0,-4.97
20250506_205013,24,37.57,"(15, 6)",4,5.0,7.67
20250506_205013,25,19.50,"(14, 0)",3,8.0,-18.07
20250506_205013,26,20.78,"(14, 1)",3,8.0,1.28
20250506_205013,27,23.47,"(14, 2)",3,7.0,2.68
20250506_205013,28,24.98,"(14, 4)",3,7.0,1.52
20250506_205013,29,25.67,"(14, 5)",3,6.0,0.68
20250506_205013,30,19.67,"(14, 6)",3,4.0,-6.00
20250506_205013,31,27.88,"(13, 0)",3,5.0,8.22
20250506_205013,32,23.60,"(13, 1)",3,8.0,-4.28
20250506_205013,33,27.30,"(13, 2)",3,7.0,3.70
20250506_205013,34,24.33,"(13, 4)",3,7.0,-2.97
20250506_205013,35,22.82,"(13, 5)",3,6.0,-1.52
20250506_205013,36,25.55,"(13, 6)",3,8.0,2.73
20250506_205013,37,26.23,"(12, 0)",3,10.0,0.68
20250506_205013,38,23.93,"(12, 1)",3,8.0,-2.30
20250506_205013,39,26.38,"(12, 2)",3,9.0,2.45
20250506_205013,40,20.25,"(12, 4)",3,7.0,-6.13
20250506_205013,41,20.87,"(12, 5)",3,7.0,0.62
20250506_205013,42,23.77,"(12, 6)",3,3.0,2.90
20250506_205013,43,27.18,"(11, 0)",3,7.0,3.42
20250506_205013,44,23.53,"(11, 1)",3,9.0,-3.65
20250506_205013,45,21.95,"(11, 2)",3,7.0,-1.58
20250506_205013,46,23.68,"(11, 4)",3,6.0,1.73
20250506_205013,47,23.85,"(11, 5)",3,8.0,0.17
20250506_205013,48,23.40,"(11, 6)",3,7.0,-0.45
20250506_205013,49,14.05,"(10, 0)",2,7.0,-9.35
20250506_205013,50,12.62,"(10, 1)",2,10.0,-1.43
20250506_205013,51,13.08,"(10, 2)",2,8.0,0.47
20250506_205013,52,15.53,"(10, 4)",2,7.0,2.45
20250506_205013,53,18.87,"(10, 5)",2,5.0,3.33
20250506_205013,54,13.48,"(10, 6)",2,7.0,-5.38
20250506_205013,55,9.60,"(9, 0)",2,3.0,-3.88
20250506_205013,56,17.02,"(9, 1)",2,5.0,7.42
20250506_205013,57,11.52,"(9, 2)",2,9.0,-5.50
20250506_205013,58,10.92,"(9, 4)",2,5.0,-0.60
20250506_205013,59,14.82,"(9, 5)",2,11.0,3.90
20250506_205013,60,11.43,"(9, 6)",2,7.0,-3.38
20250506_205013,61,9.03,"(8, 0)",2,4.0,-2.40
20250506_205013,62,17.25,"(8, 1)",2,7.0,8.22
20250506_205013,63,8.85,"(8, 2)",2,12.0,-8.40
20250506_205013,64,11.40,"(8, 4)",2,6.0,2.55
20250506_205013,65,14.22,"(8, 5)",2,6.0,2.82
20250506_205013,66,10.27,"(8, 6)",2,7.0,-3.95
20250506_205013,67,10.18,"(7, 0)",2,4.0,-0.08
20250506_205013,68,13.40,"(7, 1)",2,6.0,3.22
20250506_205013,69,14.70,"(7, 2)",2,7.0,1.30
20250506_205013,70,16.93,"(7, 4)",2,6.0,2.23
20250506_205013,71,16.35,"(7, 5)",2,5.0,-0.58
20250506_205013,72,19.43,"(7, 6)",2,6.0,3.08
20250506_205013,73,1.07,"(6, 0)",1,5.0,-18.37
20250506_205013,74,0.95,"(6, 1)",1,8.0,-0.12
20250506_205013,75,8.07,"(6, 2)",1,6.0,7.12
20250506_205013,76,7.90,"(6, 4)",1,7.0,-0.17
20250506_205013,77,4.18,"(6, 5)",1,6.0,-3.72
20250506_205013,78,3.87,"(6, 6)",1,9.0,-0.32
20250506_205013,79,7.42,"(5, 0)",1,6.0,3.55
20250506_205013,80,0.22,"(5, 1)",1,7.0,-7.20
20250506_205013,81,5.63,"(5, 2)",1,11.0,5.42
20250506_205013,82,2.57,"(5, 4)",1,5.0,-3.07
20250506_205013,83,0.00,"(5, 5)",1,7.0,-2.57
20250506_205013,84,6.67,"(5, 6)",1,4.0,0.00
20250506_205013,85,3.95,"(4, 0)",1,9.0,-2.72
20250506_205013,86,0.38,"(4, 1)",1,8.0,-3.57
20250506_205013,87,2.45,"(4, 2)",1,2.0,2.07
20250506_205013,88,4.73,"(4, 4)",1,6.0,2.28
20250506_205013,89,0.30,"(4, 5)",1,7.0,-4.43
20250506_205013,90,0.07,"(4, 6)",1,7.0,-0.23
20250506_205013,91,1.80,"(3, 0)",1,5.0,1.73
20250506_205013,92,1.15,"(3, 1)",1,8.0,-0.65
20250506_205013,93,7.33,"(3, 2)",1,9.0,6.18
20250506_205013,94,3.40,"(3, 4)",1,6.0,-3.93
20250506_205013,95,0.10,"(3, 5)",1,7.0,-3.30
20250506_205013,96,4.67,"(3, 6)",1,7.0,4.57
20250506_211233,1,36.78,"(18, 0)",4,8.0,0.00
20250506_211233,2,31.75,"(18, 1)",4,9.0,-5.03
20250506_211233,3,38.65,"(18, 2)",4,7.0,6.90
20250506_211233,4,30.97,"(18, 4)",4,8.0,-7.68
20250506_211233,5,35.67,"(18, 5)",4,8.0,4.70
20250506_211233,6,35.08,"(18, 6)",4,10.0,-0.58
20250506_211233,7,32.90,"(17, 0)",4,5.0,-2.18
20250506_211233,8,37.02,"(17, 1)",4,5.0,4.12
20250506_211233,9,34.38,"(17, 2)",4,8.0,-2.63
20250506_211233,10,35.88,"(17, 4)",4,12.0,1.50
20250506_211233,11,32.23,"(17, 5)",4,6.0,-3.65
20250506_211233,12,39.25,"(17, 6)",4,8.0,7.02
20250506_211233,13,32.68,"(16, 0)",4,5.0,-6.57
20250506_211233,14,36.72,"(16, 1)",4,3.0,4.03
20250506_211233,15,38.53,"(16, 2)",4,6.0,1.82
20250506_211233,16,31.38,"(16, 4)",4,7.0,-7.15
20250506_211233,17,37.63,"(16, 5)",4,6.0,6.25
20250506_211233,18,32.78,"(16, 6)",4,10.0,-4.85
20250506_211233,19,33.52,"(15, 0)",4,9.0,0.73
20250506_211233,20,36.93,"(15, 1)",4,7.0,3.42
20250506_211233,21,32.00,"(15, 2)",4,11.0,-4.93
20250506_211233,22,38.73,"(15, 4)",4,6.0,6.73
20250506_211233,23,36.85,"(15, 5)",4,5.0,-1.88
20250506_211233,24,40.30,"(15, 6)",4,6.0,3.45
20250506_211233,25,28.45,"(14, 0)",3,7.0,-11.85
20250506_211233,26,22.40,"(14, 1)",3,8.0,-6.05
20250506_211233,27,20.63,"(14, 2)",3,6.0,-1.77
20250506_211233,28,20.67,"(14, 4)",3,4.0,0.03
20250506_211233,29,28.57,"(14, 5)",3,8.0,7.90
20250506_211233,30,27.18,"(14, 6)",3,5.0,-1.38
20250506_211233,31,29.55,"(13, 0)",3,9.0,2.37
20250506_211233,32,25.42,"(13, 1)",3,6.0,-4.13
20250506_211233,33,29.15,"(13, 2)",3,6.0,3.73
20250506_211233,34,29.23,"(13, 4)",3,9.0,0.08
20250506_211233,35,24.75,"(13, 5)",3,10.0,-4.48
20250506_211233,36,26.55,"(13, 6)",3,7.0,1.80
20250506_211233,37,25.88,"(12, 0)",3,2.0,-0.67
20250506_211233,38,22.22,"(12, 1)",3,6.0,-3.67
20250506_211233,39,21.65,"(12, 2)",3,7.0,-0.57
20250506_211233,40,25.63,"(12, 4)",3,5.0,3.98
20250506_211233,41,25.72,"(12, 5)",3,8.0,0.08
20250506_211233,42,25.52,"(12, 6)",3,9.0,-0.20
20250506_211233,43,23.53,"(11, 0)",3,8.0,-1.98
20250506_211233,44,24.65,"(11, 1)",3,5.0,1.12
20250506_211233,45,25.80,"(11, 2)",3,4.0,1.15
20250506_211233,46,30.37,"(11, 4)",3,6.0,4.57
