trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_204331,1,56.13,"(18, 0)",16,7.0,0.00
20250506_204331,2,53.03,"(18, 1)",16,4.0,-3.10
20250506_204331,3,54.00,"(18, 2)",16,8.0,0.97
20250506_204331,4,55.40,"(18, 4)",16,10.0,1.40
20250506_204331,5,54.60,"(18, 5)",16,8.0,-0.80
20250506_204331,6,55.48,"(18, 6)",16,8.0,0.88
20250506_204331,7,50.47,"(17, 0)",15,9.0,-5.02
20250506_204331,8,51.12,"(17, 1)",15,9.0,0.65
20250506_204331,9,49.98,"(17, 2)",15,5.0,-1.13
20250506_204331,10,51.72,"(17, 4)",15,9.0,1.73
20250506_204331,11,51.03,"(17, 5)",15,4.0,-0.68
20250506_204331,12,52.43,"(17, 6)",15,11.0,1.40
20250506_204331,13,47.17,"(16, 0)",14,6.0,-5.27
20250506_204331,14,49.47,"(16, 1)",14,2.0,2.30
20250506_204331,15,47.25,"(16, 2)",14,6.0,-2.22
20250506_204331,16,46.75,"(16, 4)",14,7.0,-0.50
20250506_204331,17,49.05,"(16, 5)",14,6.0,2.30
20250506_204331,18,48.35,"(16, 6)",14,5.0,-0.70
20250506_204331,19,43.73,"(15, 0)",13,6.0,-4.62
20250506_204331,20,46.05,"(15, 1)",13,9.0,2.32
20250506_204331,21,44.87,"(15, 2)",13,6.0,-1.18
20250506_204331,22,43.05,"(15, 4)",13,6.0,-1.82
20250506_204331,23,44.40,"(15, 5)",13,10.0,1.35
20250506_204331,24,43.13,"(15, 6)",13,7.0,-1.27
20250506_204331,25,41.17,"(14, 0)",12,5.0,-1.97
20250506_204331,26,42.08,"(14, 1)",12,5.0,0.92
20250506_204331,27,42.48,"(14, 2)",12,7.0,0.40
20250506_204331,28,39.15,"(14, 4)",12,12.0,-3.33
20250506_204331,29,39.80,"(14, 5)",12,6.0,0.65
20250506_204331,30,40.45,"(14, 6)",12,3.0,0.65
20250506_204331,31,39.07,"(13, 0)",11,4.0,-1.38
20250506_204331,32,38.15,"(13, 1)",11,6.0,-0.92
20250506_204331,33,37.68,"(13, 2)",11,13.0,-0.47
20250506_204331,34,35.33,"(13, 4)",11,6.0,-2.35
20250506_204331,35,36.97,"(13, 5)",11,4.0,1.63
20250506_204331,36,36.13,"(13, 6)",11,6.0,-0.83
20250506_204331,37,32.18,"(12, 0)",10,7.0,-3.95
20250506_204331,38,34.57,"(12, 1)",10,4.0,2.38
20250506_204331,39,34.65,"(12, 2)",10,7.0,0.08
20250506_204331,40,33.03,"(12, 4)",10,7.0,-1.62
20250506_204331,41,31.70,"(12, 5)",10,7.0,-1.33
20250506_204331,42,34.00,"(12, 6)",10,9.0,2.30
20250506_204331,43,30.78,"(11, 0)",9,7.0,-3.22
20250506_204331,44,30.07,"(11, 1)",9,8.0,-0.72
20250506_204331,45,30.87,"(11, 2)",9,4.0,0.80
20250506_204331,46,28.57,"(11, 4)",9,7.0,-2.30
20250506_204331,47,29.38,"(11, 5)",9,8.0,0.82
20250506_204331,48,31.02,"(11, 6)",9,10.0,1.63
20250506_204331,49,26.12,"(10, 0)",8,7.0,-4.90
20250506_204331,50,26.75,"(10, 1)",8,5.0,0.63
20250506_204331,51,27.97,"(10, 2)",8,7.0,1.22
20250506_204331,52,26.83,"(10, 4)",8,9.0,-1.13
20250506_204331,53,27.32,"(10, 5)",8,10.0,0.48
20250506_204331,54,25.43,"(10, 6)",8,1.0,-1.88
20250506_204331,55,22.28,"(9, 0)",7,6.0,-3.15
20250506_204331,56,23.02,"(9, 1)",7,9.0,0.73
20250506_204331,57,23.95,"(9, 2)",7,7.0,0.93
20250506_204331,58,22.20,"(9, 4)",7,7.0,-1.75
20250506_204331,59,24.72,"(9, 5)",7,8.0,2.52
20250506_204331,60,21.55,"(9, 6)",7,5.0,-3.17
20250506_204331,61,18.87,"(8, 0)",6,7.0,-2.68
20250506_204331,62,20.47,"(8, 1)",6,7.0,1.60
20250506_204331,63,17.28,"(8, 2)",6,8.0,-3.18
20250506_204331,64,19.75,"(8, 4)",6,7.0,2.47
20250506_204331,65,18.10,"(8, 5)",6,8.0,-1.65
20250506_204331,66,17.37,"(8, 6)",6,10.0,-0.73
20250506_204331,67,16.07,"(7, 0)",5,11.0,-1.30
20250506_204331,68,14.48,"(7, 1)",5,9.0,-1.58
20250506_204331,69,13.67,"(7, 2)",5,8.0,-0.82
20250506_204331,70,16.57,"(7, 4)",5,8.0,2.90
20250506_204331,71,15.53,"(7, 5)",5,7.0,-1.03
20250506_204331,72,12.93,"(7, 6)",5,8.0,-2.60
20250506_204331,73,12.28,"(6, 0)",4,4.0,-0.65
20250506_204331,74,12.85,"(6, 1)",4,8.0,0.57
20250506_204331,75,10.58,"(6, 2)",4,11.0,-2.27
20250506_204331,76,9.63,"(6, 4)",4,9.0,-0.95
20250506_204331,77,8.95,"(6, 5)",4,8.0,-0.68
20250506_204331,78,11.48,"(6, 6)",4,4.0,2.53
20250506_204331,79,7.97,"(5, 0)",3,8.0,-3.52
20250506_204331,80,5.38,"(5, 1)",3,10.0,-2.58
20250506_204331,81,8.05,"(5, 2)",3,7.0,2.67
20250506_204331,82,6.10,"(5, 4)",3,7.0,-1.95
20250506_204331,83,6.75,"(5, 5)",3,9.0,0.65
20250506_204331,84,7.47,"(5, 6)",3,8.0,0.72
20250506_204331,85,2.02,"(4, 0)",2,6.0,-5.45
20250506_204331,86,3.97,"(4, 1)",2,7.0,1.95
20250506_204331,87,4.05,"(4, 2)",2,7.0,0.08
20250506_204331,88,2.75,"(4, 4)",2,8.0,-1.30
20250506_204331,89,3.38,"(4, 5)",2,7.0,0.63
20250506_204331,90,4.62,"(4, 6)",2,5.0,1.23
20250506_204331,91,1.37,"(3, 0)",1,6.0,-3.25
20250506_204331,92,0.23,"(3, 1)",1,7.0,-1.13
20250506_204331,93,0.73,"(3, 2)",1,6.0,0.50
20250506_204331,94,0.32,"(3, 4)",1,8.0,-0.42
20250506_204331,95,0.00,"(3, 5)",1,5.0,-0.32
20250506_204331,96,0.15,"(3, 6)",1,6.0,0.00
20250506_211117,1,57.37,"(18, 0)",16,6.0,0.00
20250506_211117,2,57.28,"(18, 1)",16,10.0,-0.08
20250506_211117,3,57.85,"(18, 2)",16,10.0,0.57
20250506_211117,4,56.63,"(18, 4)",16,9.0,-1.22
20250506_211117,5,55.35,"(18, 5)",16,5.0,-1.28
20250506_211117,6,56.08,"(18, 6)",16,7.0,0.73
20250506_211117,7,53.97,"(17, 0)",15,11.0,-2.12
20250506_211117,8,52.82,"(17, 1)",15,9.0,-1.15
20250506_211117,9,54.57,"(17, 2)",15,5.0,1.75
20250506_211117,10,53.57,"(17, 4)",15,6.0,-1.00
20250506_211117,11,51.68,"(17, 5)",15,8.0,-1.88
20250506_211117,12,53.65,"(17, 6)",15,10.0,1.97
20250506_211117,13,51.20,"(16, 0)",14,6.0,-2.45
20250506_211117,14,48.83,"(16, 1)",14,5.0,-2.37
20250506_211117,15,48.35,"(16, 2)",14,5.0,-0.48
20250506_211117,16,50.15,"(16, 4)",14,6.0,1.80
20250506_211117,17,49.48,"(16, 5)",14,7.0,-0.67
20250506_211117,18,48.75,"(16, 6)",14,7.0,-0.73
20250506_211117,19,46.97,"(15, 0)",13,5.0,-1.78
20250506_211117,20,43.97,"(15, 1)",13,3.0,-3.00
20250506_211117,21,47.68,"(15, 2)",13,8.0,3.72
20250506_211117,22,44.05,"(15, 4)",13,6.0,-3.63
20250506_211117,23,45.12,"(15, 5)",13,7.0,1.07
20250506_211117,24,46.17,"(15, 6)",13,6.0,1.05
20250506_211117,25,43.08,"(14, 0)",12,8.0,-3.08
20250506_211117,26,39.33,"(14, 1)",12,7.0,-3.75
20250506_211117,27,42.50,"(14, 2)",12,12.0,3.17
20250506_211117,28,41.83,"(14, 4)",12,5.0,-0.67
