trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_210952,1,23.82,"(3, 0)",1,7.0,0.00
20250506_210952,2,3.27,"(3, 1)",1,3.0,-20.55
20250506_210952,3,4.02,"(3, 2)",1,7.0,0.75
20250506_210952,4,14.63,"(3, 4)",1,8.0,10.62
20250506_210952,5,27.12,"(3, 5)",1,5.0,12.48
20250506_210952,6,23.67,"(3, 6)",1,5.0,-3.45
20250506_210952,7,15.97,"(4, 0)",1,8.0,-7.70
20250506_210952,8,19.37,"(4, 1)",1,9.0,3.40
20250506_210952,9,12.85,"(4, 2)",1,6.0,-6.52
20250506_210952,10,3.35,"(4, 4)",1,7.0,-9.50
20250506_210952,11,5.95,"(4, 5)",1,10.0,2.60
20250506_210952,12,0.00,"(4, 6)",1,3.0,-5.95
20250506_210952,13,8.97,"(5, 0)",1,6.0,0.00
20250506_210952,14,16.82,"(5, 1)",1,5.0,7.85
20250506_210952,15,19.53,"(5, 2)",1,5.0,2.72
20250506_210952,16,9.37,"(5, 4)",1,7.0,-10.17
20250506_210952,17,28.02,"(5, 5)",1,11.0,18.65
20250506_210952,18,28.62,"(5, 6)",1,6.0,0.60
20250506_210952,19,23.00,"(6, 0)",1,5.0,-5.62
20250506_210952,20,2.18,"(6, 1)",1,8.0,-20.82
20250506_210952,21,21.48,"(6, 2)",1,5.0,19.30
20250506_210952,22,16.48,"(6, 4)",1,4.0,-5.00
20250506_210952,23,0.27,"(6, 5)",1,10.0,-16.22
20250506_210952,24,5.87,"(6, 6)",1,7.0,5.60
20250506_210952,25,9.28,"(7, 0)",1,7.0,3.42
20250506_210952,26,0.07,"(7, 1)",1,8.0,-9.22
20250506_210952,27,21.40,"(7, 2)",1,6.0,21.33
20250506_210952,28,0.42,"(7, 4)",1,11.0,-20.98
20250506_210952,29,9.20,"(7, 5)",1,5.0,8.78
20250506_210952,30,3.43,"(7, 6)",1,9.0,-5.77
20250506_210952,31,9.03,"(8, 0)",1,8.0,5.60
20250506_210952,32,16.05,"(8, 1)",1,9.0,7.02
20250506_210952,33,4.63,"(8, 2)",1,7.0,-11.42
20250506_210952,34,20.40,"(8, 4)",1,5.0,15.77
20250506_210952,35,12.95,"(8, 5)",1,4.0,-7.45
20250506_210952,36,14.33,"(8, 6)",1,7.0,1.38
20250506_210952,37,22.37,"(9, 0)",1,5.0,8.03
20250506_210952,38,6.20,"(9, 1)",1,6.0,-16.17
