trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_210300,1,22.20,"(3, 2)",4,6.0,0.00
20250506_210300,2,21.38,"(3, 1)",4,9.0,-0.82
20250506_210300,3,24.27,"(3, 0)",4,8.0,2.88
20250506_210300,4,21.78,"(5, 2)",4,9.0,-2.48
20250506_210300,5,23.95,"(5, 1)",4,3.0,2.17
20250506_210300,6,24.97,"(5, 0)",4,9.0,1.02
20250506_210300,7,24.52,"(7, 2)",4,8.0,-0.45
20250506_210300,8,26.38,"(7, 1)",4,2.0,1.87
20250506_210300,9,19.92,"(7, 0)",4,4.0,-6.47
20250506_210300,10,23.37,"(9, 2)",4,6.0,3.45
20250506_210300,11,26.55,"(9, 1)",4,6.0,3.18
20250506_210300,12,26.30,"(9, 0)",4,8.0,-0.25
20250506_210300,13,24.10,"(11, 2)",4,7.0,-2.20
20250506_210300,14,20.55,"(11, 1)",4,9.0,-3.55
20250506_210300,15,21.22,"(11, 0)",4,5.0,0.67
20250506_210300,16,24.18,"(13, 2)",4,4.0,2.97
20250506_210300,17,22.37,"(13, 1)",4,6.0,-1.82
20250506_210300,18,24.03,"(13, 0)",4,7.0,1.67
20250506_210300,19,23.20,"(15, 2)",4,9.0,-0.83
20250506_210300,20,21.13,"(15, 1)",4,9.0,-2.07
20250506_210300,21,20.00,"(15, 0)",4,3.0,-1.13
20250506_210300,22,27.37,"(17, 2)",4,9.0,7.37
20250506_210300,23,25.30,"(17, 1)",4,9.0,-2.07
20250506_210300,24,21.30,"(17, 0)",4,11.0,-4.00
20250506_210300,25,14.75,"(3, 4)",3,7.0,-6.55
20250506_210300,26,13.05,"(3, 5)",3,7.0,-1.70
20250506_210300,27,14.52,"(3, 6)",3,8.0,1.47
20250506_210300,28,19.25,"(5, 4)",3,6.0,4.73
20250506_210300,29,18.95,"(5, 5)",3,6.0,-0.30
20250506_210300,30,17.12,"(5, 6)",3,10.0,-1.83
20250506_210300,31,12.55,"(7, 4)",3,5.0,-4.57
20250506_210300,32,12.47,"(7, 5)",3,9.0,-0.08
20250506_210300,33,13.95,"(7, 6)",3,7.0,1.48
20250506_210300,34,19.83,"(9, 4)",3,5.0,5.88
20250506_210300,35,19.33,"(9, 5)",3,5.0,-0.50
20250506_210300,36,16.20,"(9, 6)",3,11.0,-3.13
20250506_210300,37,13.83,"(11, 4)",3,8.0,-2.37
20250506_210300,38,19.03,"(11, 5)",3,7.0,5.20
20250506_210300,39,17.85,"(11, 6)",3,9.0,-1.18
20250506_210300,40,19.10,"(13, 4)",3,7.0,1.25
20250506_210300,41,12.38,"(13, 5)",3,9.0,-6.72
20250506_210300,42,17.28,"(13, 6)",3,2.0,4.90
20250506_210300,43,19.17,"(15, 4)",3,9.0,1.88
20250506_210300,44,18.03,"(15, 5)",3,8.0,-1.13
20250506_210300,45,13.30,"(15, 6)",3,5.0,-4.73
20250506_210300,46,14.58,"(17, 4)",3,8.0,1.28
20250506_210300,47,17.92,"(17, 5)",3,7.0,3.33
20250506_210300,48,18.12,"(17, 6)",3,7.0,0.20
20250506_210300,49,10.18,"(4, 2)",2,7.0,-7.93
20250506_210300,50,4.02,"(4, 1)",2,10.0,-6.17
20250506_210300,51,8.60,"(4, 0)",2,5.0,4.58
20250506_210300,52,10.35,"(6, 2)",2,6.0,1.75
20250506_210300,53,12.17,"(6, 1)",2,4.0,1.82
20250506_210300,54,4.27,"(6, 0)",2,5.0,-7.90
20250506_210300,55,9.25,"(8, 2)",2,6.0,4.98
20250506_210300,56,8.53,"(8, 1)",2,5.0,-0.72
20250506_210300,57,10.10,"(8, 0)",2,5.0,1.57
20250506_210300,58,12.23,"(10, 2)",2,8.0,2.13
20250506_210300,59,11.58,"(10, 1)",2,4.0,-0.65
20250506_210300,60,10.43,"(10, 0)",2,7.0,-1.15
20250506_210300,61,11.42,"(12, 2)",2,6.0,0.98
20250506_210300,62,10.60,"(12, 1)",2,8.0,-0.82
20250506_210300,63,11.27,"(12, 0)",2,4.0,0.67
20250506_210300,64,4.10,"(14, 2)",2,4.0,-7.17
20250506_210300,65,9.17,"(14, 1)",2,6.0,5.07
20250506_210300,66,8.72,"(14, 0)",2,5.0,-0.45
20250506_210300,67,7.72,"(16, 2)",2,5.0,-1.00
20250506_210300,68,8.57,"(16, 1)",2,8.0,0.85
20250506_210300,69,10.27,"(16, 0)",2,4.0,1.70
20250506_210300,70,9.53,"(18, 2)",2,7.0,-0.73
20250506_210300,71,6.65,"(18, 1)",2,11.0,-2.88
20250506_210300,72,11.35,"(18, 0)",2,7.0,4.70
20250506_210300,73,2.27,"(4, 4)",1,5.0,-9.08
20250506_210300,74,0.87,"(4, 5)",1,9.0,-1.40
20250506_210300,75,3.52,"(4, 6)",1,9.0,2.65
20250506_210300,76,2.43,"(6, 4)",1,7.0,-1.08
20250506_210300,77,2.18,"(6, 5)",1,6.0,-0.25
20250506_210300,78,1.07,"(6, 6)",1,9.0,-1.12
20250506_210300,79,3.35,"(8, 4)",1,8.0,2.28
20250506_210300,80,0.70,"(8, 5)",1,9.0,-2.65
20250506_210300,81,3.27,"(8, 6)",1,10.0,2.57
20250506_210300,82,0.78,"(10, 4)",1,8.0,-2.48
20250506_210300,83,2.10,"(10, 5)",1,7.0,1.32
20250506_210300,84,0.07,"(10, 6)",1,5.0,-2.03
20250506_210300,85,0.62,"(12, 4)",1,7.0,0.55
20250506_210300,86,1.18,"(12, 5)",1,7.0,0.57
20250506_210300,87,1.03,"(12, 6)",1,8.0,-0.15
20250506_210300,88,0.00,"(14, 4)",1,6.0,-1.03
20250506_210300,89,0.95,"(14, 5)",1,6.0,0.00
20250506_210300,90,0.53,"(14, 6)",1,6.0,-0.42
20250506_210300,91,0.27,"(16, 4)",1,11.0,-0.27
20250506_210300,92,0.33,"(16, 5)",1,10.0,0.07
20250506_210300,93,2.02,"(16, 6)",1,8.0,1.68
20250506_210300,94,0.45,"(18, 4)",1,3.0,-1.57
20250506_210300,95,0.13,"(18, 5)",1,5.0,-0.32
20250506_210300,96,0.20,"(18, 6)",1,8.0,0.07
20250506_211714,1,23.73,"(3, 2)",4,1.0,0.00
20250506_211714,2,27.85,"(3, 1)",4,7.0,4.12
20250506_211714,3,25.67,"(3, 0)",4,4.0,-2.18
20250506_211714,4,31.08,"(5, 2)",4,6.0,5.42
20250506_211714,5,25.58,"(5, 1)",4,8.0,-5.50
20250506_211714,6,24.33,"(5, 0)",4,7.0,-1.25
20250506_211714,7,24.17,"(7, 2)",4,7.0,-0.17
