trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_210042,1,13.78,"(3, 2)",6,7.0,0.00
20250506_210042,2,13.70,"(5, 2)",6,6.0,-0.08
20250506_210042,3,13.62,"(7, 2)",6,9.0,-0.08
20250506_210042,4,13.53,"(9, 2)",6,5.0,-0.08
20250506_210042,5,13.45,"(11, 2)",6,7.0,-0.08
20250506_210042,6,12.87,"(13, 2)",6,5.0,-0.58
20250506_210042,7,12.78,"(15, 2)",6,10.0,-0.08
20250506_210042,8,12.70,"(17, 2)",6,8.0,-0.08
20250506_210042,9,12.63,"(3, 4)",6,7.0,-0.07
20250506_210042,10,12.57,"(5, 4)",6,3.0,-0.07
20250506_210042,11,12.07,"(7, 4)",6,6.0,-0.50
20250506_210042,12,11.98,"(9, 4)",6,8.0,-0.08
20250506_210042,13,11.65,"(11, 4)",6,6.0,-0.33
20250506_210042,14,11.57,"(13, 4)",6,4.0,-0.08
20250506_210042,15,11.48,"(15, 4)",6,6.0,-0.08
20250506_210042,16,11.42,"(17, 4)",6,11.0,-0.07
20250506_210042,17,11.35,"(4, 2)",5,4.0,-0.07
20250506_210042,18,11.27,"(6, 2)",5,10.0,-0.08
20250506_210042,19,11.02,"(8, 2)",5,4.0,-0.25
20250506_210042,20,10.93,"(10, 2)",5,3.0,-0.08
20250506_210042,21,10.52,"(12, 2)",5,6.0,-0.42
20250506_210042,22,10.43,"(14, 2)",5,8.0,-0.08
20250506_210042,23,10.32,"(16, 2)",5,7.0,-0.12
20250506_210042,24,10.25,"(18, 2)",5,6.0,-0.07
20250506_210042,25,10.17,"(4, 4)",5,5.0,-0.08
20250506_210042,26,10.00,"(6, 4)",5,8.0,-0.17
20250506_210042,27,9.92,"(8, 4)",5,8.0,-0.08
20250506_210042,28,9.83,"(10, 4)",5,5.0,-0.08
20250506_210042,29,9.75,"(12, 4)",5,6.0,-0.08
20250506_210042,30,9.33,"(14, 4)",5,7.0,-0.42
20250506_210042,31,9.17,"(16, 4)",5,6.0,-0.17
20250506_210042,32,9.08,"(18, 4)",5,6.0,-0.08
20250506_210042,33,9.02,"(3, 1)",4,6.0,-0.07
20250506_210042,34,8.95,"(5, 1)",4,5.0,-0.07
20250506_210042,35,8.87,"(7, 1)",4,9.0,-0.08
20250506_210042,36,8.78,"(9, 1)",4,7.0,-0.08
20250506_210042,37,8.70,"(11, 1)",4,4.0,-0.08
20250506_210042,38,7.95,"(13, 1)",4,5.0,-0.75
20250506_210042,39,7.87,"(15, 1)",4,7.0,-0.08
20250506_210042,40,7.72,"(17, 1)",4,8.0,-0.15
20250506_210042,41,7.65,"(3, 5)",4,9.0,-0.07
20250506_210042,42,7.57,"(5, 5)",4,8.0,-0.08
20250506_210042,43,7.40,"(7, 5)",4,7.0,-0.17
20250506_210042,44,7.32,"(9, 5)",4,5.0,-0.08
20250506_210042,45,6.82,"(11, 5)",4,10.0,-0.50
20250506_210042,46,6.73,"(13, 5)",4,6.0,-0.08
20250506_210042,47,6.65,"(15, 5)",4,8.0,-0.08
20250506_210042,48,6.58,"(17, 5)",4,8.0,-0.07
20250506_210042,49,6.52,"(4, 1)",3,6.0,-0.07
20250506_210042,50,6.43,"(6, 1)",3,8.0,-0.08
20250506_210042,51,6.35,"(8, 1)",3,10.0,-0.08
20250506_210042,52,6.27,"(10, 1)",3,7.0,-0.08
20250506_210042,53,5.68,"(12, 1)",3,7.0,-0.58
20250506_210042,54,5.60,"(14, 1)",3,5.0,-0.08
20250506_210042,55,5.48,"(16, 1)",3,4.0,-0.12
20250506_210042,56,5.42,"(18, 1)",3,4.0,-0.07
20250506_210042,57,5.38,"(4, 5)",3,7.0,-0.03
20250506_210042,58,5.35,"(6, 5)",3,2.0,-0.03
20250506_210042,59,5.28,"(8, 5)",3,9.0,-0.07
20250506_210042,60,5.20,"(10, 5)",3,5.0,-0.08
20250506_210042,61,5.12,"(12, 5)",3,4.0,-0.08
20250506_210042,62,4.45,"(14, 5)",3,7.0,-0.67
20250506_210042,63,4.37,"(16, 5)",3,6.0,-0.08
20250506_210042,64,4.28,"(18, 5)",3,7.0,-0.08
20250506_210042,65,4.22,"(3, 0)",2,8.0,-0.07
20250506_210042,66,4.15,"(5, 0)",2,6.0,-0.07
20250506_210042,67,4.08,"(7, 0)",2,6.0,-0.07
20250506_210042,68,4.00,"(9, 0)",2,7.0,-0.08
20250506_210042,69,3.92,"(11, 0)",2,9.0,-0.08
20250506_210042,70,3.17,"(13, 0)",2,6.0,-0.75
20250506_210042,71,3.08,"(15, 0)",2,4.0,-0.08
20250506_210042,72,3.00,"(17, 0)",2,5.0,-0.08
20250506_210042,73,2.93,"(3, 6)",2,9.0,-0.07
20250506_210042,74,2.87,"(5, 6)",2,7.0,-0.07
20250506_210042,75,2.80,"(7, 6)",2,9.0,-0.07
20250506_210042,76,2.72,"(9, 6)",2,8.0,-0.08
20250506_210042,77,2.05,"(11, 6)",2,6.0,-0.67
20250506_210042,78,1.97,"(13, 6)",2,5.0,-0.08
20250506_210042,79,1.88,"(15, 6)",2,7.0,-0.08
20250506_210042,80,1.77,"(17, 6)",2,8.0,-0.12
20250506_210042,81,1.70,"(4, 0)",1,9.0,-0.07
20250506_210042,82,1.63,"(6, 0)",1,8.0,-0.07
20250506_210042,83,1.60,"(8, 0)",1,6.0,-0.03
20250506_210042,84,1.57,"(10, 0)",1,9.0,-0.03
20250506_210042,85,0.82,"(12, 0)",1,6.0,-0.75
20250506_210042,86,0.73,"(14, 0)",1,6.0,-0.08
20250506_210042,87,0.65,"(16, 0)",1,5.0,-0.08
20250506_210042,88,0.53,"(18, 0)",1,6.0,-0.12
20250506_210042,89,0.47,"(4, 6)",1,10.0,-0.07
20250506_210042,90,0.40,"(6, 6)",1,8.0,-0.07
20250506_210042,91,0.33,"(8, 6)",1,7.0,-0.07
20250506_210042,92,0.27,"(10, 6)",1,11.0,-0.07
20250506_210042,93,0.23,"(12, 6)",1,7.0,-0.03
20250506_210042,94,0.17,"(14, 6)",1,9.0,-0.07
20250506_210042,95,0.07,"(16, 6)",1,6.0,-0.10
20250506_210042,96,0.00,"(18, 6)",1,5.0,-0.07
20250506_211604,1,13.95,"(3, 2)",6,7.0,0.00
20250506_211604,2,13.88,"(5, 2)",6,7.0,-0.07
20250506_211604,3,13.82,"(7, 2)",6,6.0,-0.07
20250506_211604,4,13.78,"(9, 2)",6,4.0,-0.03
20250506_211604,5,13.70,"(11, 2)",6,5.0,-0.08
20250506_211604,6,12.95,"(13, 2)",6,4.0,-0.75
20250506_211604,7,12.87,"(15, 2)",6,7.0,-0.08
20250506_211604,8,12.75,"(17, 2)",6,8.0,-0.12
20250506_211604,9,12.72,"(3, 4)",6,9.0,-0.03
20250506_211604,10,12.65,"(5, 4)",6,7.0,-0.07
20250506_211604,11,12.58,"(7, 4)",6,7.0,-0.07
20250506_211604,12,12.52,"(9, 4)",6,6.0,-0.07
20250506_211604,13,11.90,"(11, 4)",6,6.0,-0.62
20250506_211604,14,11.82,"(13, 4)",6,9.0,-0.08
20250506_211604,15,11.73,"(15, 4)",6,6.0,-0.08
20250506_211604,16,11.65,"(17, 4)",6,8.0,-0.08
20250506_211604,17,11.58,"(4, 2)",5,8.0,-0.07
20250506_211604,18,11.48,"(6, 2)",5,6.0,-0.10
20250506_211604,19,11.42,"(8, 2)",5,3.0,-0.07
20250506_211604,20,11.32,"(10, 2)",5,8.0,-0.10
20250506_211604,21,10.65,"(12, 2)",5,7.0,-0.67
20250506_211604,22,10.57,"(14, 2)",5,8.0,-0.08
20250506_211604,23,10.48,"(16, 2)",5,7.0,-0.08
20250506_211604,24,10.37,"(18, 2)",5,7.0,-0.12
20250506_211604,25,10.30,"(4, 4)",5,9.0,-0.07
20250506_211604,26,10.23,"(6, 4)",5,7.0,-0.07
20250506_211604,27,10.17,"(8, 4)",5,5.0,-0.07
20250506_211604,28,10.08,"(10, 4)",5,6.0,-0.08
20250506_211604,29,10.00,"(12, 4)",5,6.0,-0.08
20250506_211604,30,9.17,"(14, 4)",5,6.0,-0.83
20250506_211604,31,9.08,"(16, 4)",5,2.0,-0.08
20250506_211604,32,9.05,"(18, 4)",5,6.0,-0.03
20250506_211604,33,9.02,"(3, 1)",4,9.0,-0.03
20250506_211604,34,8.95,"(5, 1)",4,8.0,-0.07
20250506_211604,35,8.83,"(7, 1)",4,6.0,-0.12
20250506_211604,36,8.75,"(9, 1)",4,9.0,-0.08
20250506_211604,37,8.67,"(11, 1)",4,8.0,-0.08
20250506_211604,38,8.00,"(13, 1)",4,8.0,-0.67
20250506_211604,39,7.88,"(15, 1)",4,2.0,-0.12
20250506_211604,40,7.80,"(17, 1)",4,8.0,-0.08
20250506_211604,41,7.72,"(3, 5)",4,7.0,-0.08
20250506_211604,42,7.63,"(5, 5)",4,5.0,-0.08
20250506_211604,43,7.55,"(7, 5)",4,9.0,-0.08
20250506_211604,44,7.47,"(9, 5)",4,8.0,-0.08
20250506_211604,45,6.80,"(11, 5)",4,3.0,-0.67
20250506_211604,46,6.72,"(13, 5)",4,6.0,-0.08
20250506_211604,47,6.60,"(15, 5)",4,6.0,-0.12
20250506_211604,48,6.53,"(17, 5)",4,5.0,-0.07
20250506_211604,49,6.45,"(4, 1)",3,8.0,-0.08
20250506_211604,50,6.37,"(6, 1)",3,8.0,-0.08
20250506_211604,51,6.28,"(8, 1)",3,10.0,-0.08
20250506_211604,52,6.20,"(10, 1)",3,5.0,-0.08
20250506_211604,53,5.45,"(12, 1)",3,5.0,-0.75
20250506_211604,54,5.33,"(14, 1)",3,7.0,-0.12
20250506_211604,55,5.30,"(16, 1)",3,7.0,-0.03
20250506_211604,56,5.22,"(18, 1)",3,9.0,-0.08
20250506_211604,57,5.13,"(4, 5)",3,8.0,-0.08
20250506_211604,58,5.05,"(6, 5)",3,7.0,-0.08
20250506_211604,59,4.97,"(8, 5)",3,8.0,-0.08
20250506_211604,60,4.80,"(10, 5)",3,8.0,-0.17
20250506_211604,61,4.72,"(12, 5)",3,10.0,-0.08
20250506_211604,62,4.22,"(14, 5)",3,7.0,-0.50
20250506_211604,63,4.10,"(16, 5)",3,7.0,-0.12
20250506_211604,64,4.02,"(18, 5)",3,6.0,-0.08
20250506_211604,65,3.93,"(3, 0)",2,5.0,-0.08
20250506_211604,66,3.85,"(5, 0)",2,7.0,-0.08
20250506_211604,67,3.77,"(7, 0)",2,7.0,-0.08
20250506_211604,68,3.43,"(9, 0)",2,3.0,-0.33
20250506_211604,69,3.35,"(11, 0)",2,8.0,-0.08
