trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_205851,1,22.20,"(3, 2)",3,7.0,0.00
20250506_205851,2,16.57,"(4, 2)",3,6.0,-5.63
20250506_205851,3,17.65,"(5, 2)",3,7.0,1.08
20250506_205851,4,17.90,"(6, 2)",3,8.0,0.25
20250506_205851,5,15.57,"(7, 2)",3,10.0,-2.33
20250506_205851,6,14.33,"(8, 2)",3,5.0,-1.23
20250506_205851,7,22.93,"(9, 2)",3,7.0,8.60
20250506_205851,8,21.13,"(10, 2)",3,7.0,-1.80
20250506_205851,9,20.07,"(11, 2)",3,6.0,-1.07
20250506_205851,10,15.82,"(12, 2)",3,4.0,-4.25
20250506_205851,11,18.48,"(13, 2)",3,6.0,2.67
20250506_205851,12,15.08,"(14, 2)",3,3.0,-3.40
20250506_205851,13,15.65,"(15, 2)",3,5.0,0.57
20250506_205851,14,16.07,"(16, 2)",3,5.0,0.42
20250506_205851,15,22.12,"(17, 2)",3,7.0,6.05
20250506_205851,16,23.85,"(18, 2)",3,8.0,1.73
20250506_205851,17,21.97,"(3, 4)",3,9.0,-1.88
20250506_205851,18,20.15,"(4, 4)",3,7.0,-1.82
20250506_205851,19,16.73,"(5, 4)",3,8.0,-3.42
20250506_205851,20,23.93,"(6, 4)",3,8.0,7.20
20250506_205851,21,18.57,"(7, 4)",3,9.0,-5.37
20250506_205851,22,22.03,"(8, 4)",3,5.0,3.47
20250506_205851,23,19.40,"(9, 4)",3,9.0,-2.63
20250506_205851,24,21.07,"(10, 4)",3,9.0,1.67
20250506_205851,25,23.02,"(11, 4)",3,6.0,1.95
20250506_205851,26,15.73,"(12, 4)",3,8.0,-7.28
20250506_205851,27,21.30,"(13, 4)",3,10.0,5.57
20250506_205851,28,17.73,"(14, 4)",3,4.0,-3.57
20250506_205851,29,20.32,"(15, 4)",3,9.0,2.58
20250506_205851,30,15.48,"(16, 4)",3,11.0,-4.83
20250506_205851,31,23.18,"(17, 4)",3,9.0,7.70
20250506_205851,32,15.90,"(18, 4)",3,9.0,-7.28
20250506_205851,33,7.20,"(3, 1)",2,9.0,-8.70
20250506_205851,34,14.00,"(4, 1)",2,5.0,6.80
20250506_205851,35,13.17,"(5, 1)",2,7.0,-0.83
20250506_205851,36,6.70,"(6, 1)",2,6.0,-6.47
20250506_205851,37,10.85,"(7, 1)",2,7.0,4.15
20250506_205851,38,6.05,"(8, 1)",2,9.0,-4.80
20250506_205851,39,9.18,"(9, 1)",2,10.0,3.13
20250506_205851,40,8.07,"(10, 1)",2,8.0,-1.12
20250506_205851,41,9.35,"(11, 1)",2,9.0,1.28
20250506_205851,42,14.08,"(12, 1)",2,8.0,4.73
20250506_205851,43,9.52,"(13, 1)",2,4.0,-4.57
20250506_205851,44,13.08,"(14, 1)",2,6.0,3.57
20250506_205851,45,12.08,"(15, 1)",2,7.0,-1.00
20250506_205851,46,14.17,"(16, 1)",2,8.0,2.08
20250506_205851,47,6.90,"(17, 1)",2,7.0,-7.27
20250506_205851,48,13.25,"(18, 1)",2,8.0,6.35
20250506_205851,49,9.93,"(3, 5)",2,6.0,-3.32
20250506_205851,50,6.82,"(4, 5)",2,8.0,-3.12
20250506_205851,51,11.05,"(5, 5)",2,8.0,4.23
20250506_205851,52,12.05,"(6, 5)",2,9.0,1.00
20250506_205851,53,8.23,"(7, 5)",2,10.0,-3.82
20250506_205851,54,12.98,"(8, 5)",2,8.0,4.75
20250506_205851,55,7.13,"(9, 5)",2,7.0,-5.85
20250506_205851,56,11.63,"(10, 5)",2,5.0,4.50
20250506_205851,57,10.93,"(11, 5)",2,6.0,-0.70
20250506_205851,58,12.28,"(12, 5)",2,3.0,1.35
20250506_205851,59,7.37,"(13, 5)",2,7.0,-4.92
20250506_205851,60,11.72,"(14, 5)",2,5.0,4.35
20250506_205851,61,9.27,"(15, 5)",2,3.0,-2.45
20250506_205851,62,9.43,"(16, 5)",2,9.0,0.17
20250506_205851,63,9.07,"(17, 5)",2,6.0,-0.37
20250506_205851,64,6.13,"(18, 5)",2,5.0,-2.93
20250506_205851,65,1.18,"(3, 0)",1,7.0,-4.95
20250506_205851,66,2.50,"(4, 0)",1,8.0,1.32
20250506_205851,67,2.32,"(5, 0)",1,8.0,-0.18
20250506_205851,68,4.25,"(6, 0)",1,6.0,1.93
20250506_205851,69,4.17,"(7, 0)",1,3.0,-0.08
20250506_205851,70,2.42,"(8, 0)",1,8.0,-1.75
20250506_205851,71,0.45,"(9, 0)",1,8.0,-1.97
20250506_205851,72,0.37,"(10, 0)",1,8.0,-0.08
20250506_205851,73,0.28,"(11, 0)",1,7.0,-0.08
20250506_205851,74,2.18,"(12, 0)",1,6.0,1.90
20250506_205851,75,2.10,"(13, 0)",1,8.0,-0.08
20250506_205851,76,0.13,"(14, 0)",1,6.0,-1.97
20250506_205851,77,2.58,"(15, 0)",1,10.0,2.45
